tic_id,period_days,epoch_btjd,duration_hours,depth_ppm,bls_snr,cnn_probability,vetting_passed,vetting_reasons,rank_score
219203188,0.695802,1438.6484,1.0,385155.3,980.06,0.0664,False,depth 38.52% exceeds 3.0% cap,0.0
219410662,16.669351,1421.5038,4.0,4176.7,8.51,0.258,False,odd/even depth differ by 75.7% (2458 vs 5454 ppm),0.0
219913358,13.144497,1544.0269,1.5,64230.2,11.43,0.0,False,depth 6.42% exceeds 3.0% cap; odd/even depth differ by 47.8% (38994 vs 63505 ppm),0.0
220090550,14.684894,1556.2244,8.0,514906.8,12.58,0.0302,False,depth 51.49% exceeds 3.0% cap; odd/even depth differ by 40.8% (782799 vs 517363 ppm),0.0
220390069,14.631901,1392.3684,6.0,3779.7,4.14,0.2295,True,,0.2295
220409187,14.86585,1363.915,8.0,794.1,4.88,0.0317,True,,0.0317
220411388,3.197351,1327.9958,8.0,1888.8,74.79,0.0002,True,,0.0002
220454984,3.497463,1386.7202,8.0,932.4,7.1,0.0014,False,odd/even depth differ by 62.5% (877 vs 459 ppm),0.0
220481179,13.737414,1338.833,2.0,11401.1,8.42,0.003,False,odd/even depth differ by 94.2% (4074 vs 1464 ppm),0.0
229137237,0.688398,1354.5821,2.0,12053.9,40.93,0.0,True,,0.0
229157753,14.348605,1367.1485,1.5,5460.8,3.68,0.0096,False,odd/even depth differ by 20.5% (6913 vs 5630 ppm),0.0
231057252,0.652254,1354.4378,1.5,4337.5,56.6,0.0,True,,0.0
231275492,3.427976,1357.4416,1.0,3080.9,2.95,0.0291,False,odd/even depth differ by 16.5% (3072 vs 2602 ppm),0.0
231298324,13.394134,1395.049,8.0,4384.4,3.37,0.0002,False,odd/even depth differ by 63.0% (2982 vs 5722 ppm),0.0
231730433,18.373076,1422.5663,6.0,3229.3,8.91,0.4639,False,odd/even depth differ by 141.4% (882 vs 5136 ppm),0.0
231814409,14.38146,1423.7764,3.0,18631.1,11.12,0.0123,False,odd/even depth differ by 158.2% (684 vs 5855 ppm),0.0
231819995,16.113113,1341.0406,8.0,2357.7,5.02,0.3318,False,odd/even depth differ by 127.7% (3609 vs 796 ppm),0.0
232048036,13.868784,1478.8928,2.0,205058.0,12.58,0.1322,False,depth 20.51% exceeds 3.0% cap; odd/even depth differ by 151.1% (11386 vs 81736 ppm),0.0
232071040,14.38146,1339.6686,0.5,21946.0,4.85,0.0095,True,,0.0095
232071399,7.78479,1327.4124,0.5,3704.6,2.84,0.0098,False,odd/even depth differ by 64.9% (2123 vs 4165 ppm),0.0
232073225,1.195133,1325.9124,2.0,841.5,3.1,0.021,False,odd/even depth differ by 21.7% (713 vs 887 ppm),0.0
232074363,13.883117,1326.2561,6.0,2081.8,3.36,0.1656,True,,0.1656
235048326,16.330935,1421.5515,6.0,3778.7,4.8,0.145,False,odd/even depth differ by 109.5% (1579 vs 5404 ppm),0.0
235050374,18.877359,1421.6434,6.0,6927.2,4.41,0.0078,True,,0.0078
235056923,13.485358,1424.3577,2.0,4160.3,7.38,0.0146,False,odd/even depth differ by 32.1% (4993 vs 3612 ppm),0.0
237908790,10.760054,1331.5751,0.5,6318.3,2.76,0.0031,False,odd/even depth differ by 81.5% (8350 vs 3515 ppm),0.0
237933486,13.767854,1325.432,4.0,4537.5,6.38,0.0217,False,odd/even depth differ by 55.5% (3168 vs 5600 ppm),0.0
237935905,18.961109,1326.8047,8.0,1867.7,5.72,0.0875,False,odd/even depth differ by 187.1% (3214 vs 107 ppm),0.0
238022708,18.94433,1478.2237,3.0,7459.1,5.12,0.1175,True,,0.1175
238193200,16.006474,1340.222,3.0,1485.9,6.39,0.016,False,odd/even depth differ by 105.3% (473 vs 1525 ppm),0.0
238200256,19.997049,1333.6283,4.0,1490.1,5.52,0.1791,False,odd/even depth differ by 45.2% (1273 vs 2017 ppm),0.0
238622809,13.501286,1504.0894,8.0,4368.2,5.75,0.0,False,odd/even depth differ by 30.1% (3970 vs 5376 ppm),0.0
238891168,14.531849,1338.8996,3.0,99454.4,11.29,0.0582,False,depth 9.95% exceeds 3.0% cap; odd/even depth differ by 199.4% (215863 vs 343 ppm),0.0
238927740,13.560185,1450.346,1.5,19051.3,8.98,0.0,True,,0.0
255586487,17.053739,1364.8239,6.0,4451.1,7.49,0.2599,False,odd/even depth differ by 56.4% (2773 vs 4950 ppm),0.0
259589791,0.514027,1386.335,1.0,9289.0,296.04,0.0,True,,0.0
