tic_id,period_days,epoch_btjd,duration_hours,depth_ppm,bls_snr,cnn_probability,vetting_passed,vetting_reasons,rank_score
198189972,12.546586,2590.0444,4.0,2775.8,94.08,0.948,False,odd/even depth differ by 195.6% (5143 vs 58 ppm),0.0
198206613,10.940972,1692.364,2.0,370.3,20.32,0.2398,False,odd/even depth differ by 24.8% (310 vs 397 ppm),0.0
198212955,0.762967,1684.0955,1.0,415.0,58.73,0.8695,True,,0.8695
198213332,0.586036,1711.5894,1.0,293.9,292.64,0.5025,True,,0.5025
198360694,5.673924,1683.7023,3.0,486.0,65.7,0.9817,True,,0.9817
198610218,3.041346,2391.0617,1.0,20258.4,119.39,0.1922,True,,0.1922
198725468,3.041571,2744.2372,3.0,5795.0,110.01,0.9504,True,,0.9504
199572211,13.671692,1718.0058,2.0,2148.2,11.07,0.0546,True,,0.0546
199610140,2.985543,2640.9418,1.0,8183.8,243.97,0.5787,True,,0.5787
199712572,3.594253,1714.8356,2.0,57.9,9.62,0.1008,True,,0.1008
199721945,4.679055,3371.5267,4.0,7864.7,41.82,0.9963,True,,0.9963
199731190,2.513076,2089.7183,1.5,4243.2,49.79,0.2787,True,,0.2787
199949052,0.586858,2825.5672,1.0,700.8,86.66,0.0641,True,,0.0641
200001699,6.890992,3995.495,2.0,1878.6,14.86,0.9497,False,odd/even depth differ by 20.7% (1997 vs 1623 ppm),0.0
200090347,0.863646,3993.6137,1.5,6798.1,46.26,0.1339,True,,0.1339
200296137,8.610891,1438.4967,2.0,482.4,7.51,0.6555,False,odd/even depth differ by 29.3% (580 vs 432 ppm),0.0
200320748,1.529439,3989.9887,1.0,3060.7,15.94,0.3803,True,,0.3803
200321577,8.570327,3994.0406,4.0,4141.7,13.24,0.9766,True,,0.9766
200435203,16.154775,3996.9512,1.5,12118.9,20.71,0.2627,True,,0.2627
200606159,3.981536,2825.8298,3.0,15245.6,209.28,0.9755,True,,0.9755
200606486,0.747698,3367.9456,1.0,3109.4,30.22,0.249,True,,0.249
200743403,7.997278,3936.6937,3.0,3627.9,20.53,0.9392,False,odd/even depth differ by 15.6% (3159 vs 3692 ppm),0.0
200775844,3.729869,3639.6225,1.5,12784.7,8.7,0.6098,True,,0.6098
200803270,2.598104,3937.3303,1.5,9867.7,68.11,0.9728,True,,0.9728
200805484,2.967974,3936.7602,1.5,9527.7,49.95,0.9875,True,,0.9875
200917197,1.220529,2883.2179,1.5,2694.2,42.54,0.1309,True,,0.1309
201254754,3.302361,3886.1578,2.0,1221.0,11.96,0.6914,False,odd/even depth differ by 19.3% (1321 vs 1089 ppm),0.0
201508515,0.98616,2202.5841,1.5,1226.6,50.33,0.7389,False,odd/even depth differ by 20.6% (1306 vs 1061 ppm),0.0
201658484,2.959228,3860.0068,3.0,8108.4,21.6,0.9924,True,,0.9924
201660996,3.502111,3127.32,3.0,10351.4,49.39,0.6811,True,,0.6811
201793781,5.990987,1354.8565,3.0,336.5,28.46,0.7338,True,,0.7338
201899356,3.108266,3938.954,2.0,8331.1,54.87,0.9429,True,,0.9429
202059363,4.247049,3667.9753,4.0,5213.8,13.84,0.9667,True,,0.9667
202087931,9.851274,3589.9691,4.0,10470.7,11.62,0.9887,False,odd/even depth differ by 20.2% (8867 vs 10855 ppm),0.0
202185707,0.554448,1468.3085,1.5,2406.4,32.9,0.0,True,,0.0
202282233,6.626734,3585.2649,4.0,4177.8,6.38,0.952,False,odd/even depth differ by 22.6% (4232 vs 3375 ppm),0.0
202283090,5.156907,3584.867,2.0,14983.3,21.92,0.9845,True,,0.9845
202375913,5.062661,2856.6815,3.0,2537.2,82.06,0.9704,True,,0.9704
202425357,3.62167,2610.4069,1.5,7310.1,159.76,0.2105,True,,0.2105
202504234,1.685012,2421.5699,1.0,795.0,31.57,0.9669,False,odd/even depth differ by 17.1% (720 vs 855 ppm),0.0
202514659,3.617931,3586.2357,3.0,6270.9,17.22,0.9844,False,odd/even depth differ by 15.3% (5604 vs 6531 ppm),0.0
202563254,4.478095,2420.9745,4.0,920.9,14.68,0.186,True,,0.186
202869426,2.460241,3610.6645,1.5,32662.3,14.75,0.9507,False,depth 3.27% exceeds 3.0% cap,0.0
202872757,4.423585,2885.1075,4.0,4534.1,31.6,0.996,True,,0.996
202941251,4.178362,3341.7647,4.0,3934.4,98.53,0.9902,True,,0.9902
203096531,0.604836,2882.5471,1.5,5206.6,62.65,0.2037,True,,0.2037
203144354,0.728476,2939.5183,1.0,3778.0,10.38,0.461,True,,0.461
203287192,4.445506,2504.1409,4.0,4272.7,85.7,0.9956,True,,0.9956
203377303,8.159387,2313.0535,4.0,595.2,23.23,0.9633,True,,0.9633
203476998,2.89744,3777.5426,4.0,9616.3,13.27,0.9977,True,,0.9977
204496071,1.305962,2062.121,1.0,7639.4,61.15,0.0993,True,,0.0993
204671232,8.732449,3018.7991,4.0,8266.3,43.59,0.9369,True,,0.9369
204698337,8.238631,3017.9798,2.0,5063.9,19.51,0.3035,False,odd/even depth differ by 47.6% (5971 vs 3677 ppm),0.0
206352378,3.746417,2065.359,1.5,16011.0,158.78,0.9231,True,,0.9231
206361691,16.940876,1363.25,4.0,187.3,4.48,0.0246,False,odd/even depth differ by 16.9% (177 vs 210 ppm),0.0
206474443,3.239378,2146.5985,3.0,4831.2,83.03,0.7481,True,,0.7481
206609630,0.670552,1325.8105,1.5,7314.0,223.68,0.0085,True,,0.0085
206669860,10.055416,2066.7954,3.0,7248.4,14.81,0.6428,False,odd/even depth differ by 17.5% (6647 vs 7919 ppm),0.0
206686292,1.328704,2062.5745,1.5,6923.5,72.91,0.0963,True,,0.0963
206785987,2.9553,2202.3154,3.0,6596.7,56.45,0.9805,True,,0.9805
206897186,4.239535,3666.0607,3.0,12638.2,13.35,0.9736,False,odd/even depth differ by 17.7% (10953 vs 13083 ppm),0.0
206906112,13.58522,2212.6217,3.0,2436.8,39.58,0.8018,True,,0.8018
207081058,14.775095,1336.1298,4.0,11695.6,53.81,0.7384,True,,0.7384
207237016,8.804256,2095.7498,2.0,1955.5,26.81,0.643,False,odd/even depth differ by 71.8% (1031 vs 2186 ppm),0.0
207238953,13.995214,2088.4082,4.0,1333.3,10.85,0.0009,False,odd/even depth differ by 97.5% (1746 vs 602 ppm),0.0
207277638,3.00499,2203.0234,8.0,268.1,11.45,0.0352,True,,0.0352
207339000,4.618349,2390.8835,2.0,17795.0,153.2,0.9658,True,,0.9658
207425167,19.128315,1905.4728,6.0,1745.3,16.5,0.6594,False,odd/even depth differ by 162.4% (1068 vs 111 ppm),0.0
