tic_id,period_days,epoch_btjd,duration_hours,depth_ppm,bls_snr,cnn_probability,vetting_passed,vetting_reasons,rank_score
327952677,3.397008,2090.1327,2.0,7630.1,72.76,0.9455,True,,0.9455
328081248,4.164512,2772.335,1.5,2114.6,17.77,0.9412,False,odd/even depth differ by 21.8% (1804 vs 2245 ppm),0.0
328513434,1.790761,3286.3409,1.0,59775.0,19.58,0.9653,False,depth 5.98% exceeds 3.0% cap,0.0
329148988,13.635428,1747.1571,2.0,908.9,10.29,0.2881,False,odd/even depth differ by 17.2% (1011 vs 851 ppm),0.0
330687113,5.113716,2503.1324,2.0,1177.6,24.61,0.9241,False,odd/even depth differ by 15.4% (1013 vs 1182 ppm),0.0
330690135,14.759842,2514.3435,4.0,1881.7,23.39,0.9718,False,odd/even depth differ by 26.8% (2091 vs 1598 ppm),0.0
332022997,13.332021,2512.7989,4.0,4083.2,10.61,0.0173,True,,0.0173
332064670,0.736529,1870.708,1.5,302.8,245.59,0.8677,True,,0.8677
332558858,13.331038,2155.1689,4.0,7931.8,8.94,0.9965,False,odd/even depth differ by 28.2% (6622 vs 8795 ppm),0.0
333473672,12.998871,1745.915,4.0,842.3,18.58,0.9097,False,odd/even depth differ by 26.1% (744 vs 967 ppm),0.0
333657795,13.563187,2459.9126,1.0,1378.8,12.48,0.8231,False,odd/even depth differ by 165.7% (2542 vs 239 ppm),0.0
333736132,12.620859,2283.5239,2.0,7156.6,33.99,0.0502,False,odd/even depth differ by 187.7% (411 vs 12956 ppm),0.0
335590096,1.522796,3015.3566,1.0,41246.8,145.93,0.8549,False,depth 4.12% exceeds 3.0% cap,0.0
335630746,4.633708,1574.0692,3.0,6124.0,57.25,0.9816,True,,0.9816
336128819,7.851701,2017.7348,2.0,2243.3,22.18,0.5462,True,,0.5462
336732544,3.275185,3805.302,2.0,14927.3,20.25,0.9305,True,,0.9305
336732616,3.547883,1327.2432,3.0,8837.7,70.9,0.9729,True,,0.9729
339522221,1.821004,3126.6882,2.0,11238.8,165.69,0.5202,True,,0.5202
339672028,10.331405,1470.2831,6.0,3288.2,903.73,0.9269,True,,0.9269
342642208,8.600732,2397.3557,3.0,3937.6,40.65,0.991,True,,0.991
343019899,12.919514,2837.5207,6.0,1087.9,31.65,0.9527,False,odd/even depth differ by 197.2% (17 vs 2404 ppm),0.0
343628284,8.111968,1713.3772,3.0,2691.6,10.38,0.9441,False,odd/even depth differ by 19.5% (3094 vs 2545 ppm),0.0
346338552,4.465228,2829.4824,2.0,11929.8,97.76,0.9231,True,,0.9231
346626688,4.408597,2886.3351,3.0,7926.9,61.8,0.9908,True,,0.9908
347329162,4.616987,1902.7233,3.0,9863.3,45.36,0.9917,True,,0.9917
347430350,2.243,2666.876,2.0,9164.0,14.52,0.9367,True,,0.9367
348755728,4.506266,2256.8719,2.0,8056.8,27.53,0.3354,True,,0.3354
348835438,6.20329,2967.017,6.0,1021.3,27.28,0.9777,True,,0.9777
349095149,18.336513,1330.8453,8.0,103.6,8.84,0.7455,False,odd/even depth differ by 32.4% (118 vs 85 ppm),0.0
349488688,19.24581,2002.7697,6.0,1149.8,20.71,0.9934,False,odd/even depth differ by 159.6% (134 vs 1197 ppm),0.0
349576261,3.800706,2039.0659,8.0,695.7,55.2,0.0003,True,,0.0003
349827430,5.551357,1684.834,4.0,7235.1,398.91,0.9881,True,,0.9881
349972412,2.426173,2038.4533,2.0,663.4,13.14,0.986,False,odd/even depth differ by 27.5% (766 vs 581 ppm),0.0
350020859,11.81178,2532.3727,6.0,1057.6,28.28,0.9703,True,,0.9703
350153977,3.183698,1629.7572,3.0,460.2,39.43,0.1753,False,odd/even depth differ by 17.4% (420 vs 500 ppm),0.0
350293646,8.523664,2235.2249,2.0,14482.0,55.64,0.9668,True,,0.9668
350348197,6.755577,3265.0941,2.0,1737.7,14.87,0.9961,False,odd/even depth differ by 15.7% (1577 vs 1847 ppm),0.0
350618622,17.659378,1340.7386,4.0,2016.9,384.41,0.9739,False,odd/even depth differ by 79.7% (250 vs 580 ppm),0.0
350814622,3.213669,2391.4781,4.0,478.6,13.24,0.9089,True,,0.9089
352011875,6.246461,1686.2355,8.0,323.4,7.43,0.7697,False,odd/even depth differ by 30.9% (386 vs 282 ppm),0.0
352413427,5.254459,1769.7852,3.0,458.6,20.38,0.99,True,,0.99
352682207,5.414633,2720.2005,2.0,4413.6,40.9,0.7929,True,,0.7929
